Safari & Cyclone UEC List (Updated 12/16/2010)

UEC    Description
05B5   UEC_FC_CMD_FRAME_CRC_ERROR
05B6   UEC_FC_HOST_OSC_ERROR
05B7   UEC_FC_RSRC_CHECK
05B8   UEC_FC_MODE_SELECT_PORT
05B9   UEC_FC_UPDATE_INQ_DATA
05BA   UEC_FC_BUFCNT_ADJ
05BB   UEC_SAS_BREAK_TIMEOUT
05BC   UEC_FC_FAKE_DXFR_DONE
05BD   UEC_FC_UPDATE_PRS_RSV_FID
05BE   UEC_HI_REPORT_SAS_INV_FRAME
05BF   UEC_SAS_UPDATE_MDSN_DATA
05CF   UEC_HI_RESET_DURATION_EXCEEDED
05DB   UEC_HI_REQ_BROADCAST_ASYNC_EVENT
05E2   UEC_TRIGGER_SHORT_CRC_ERROR_SNAPSHOT
05EB   UEC_HI_PHY_DATAEYE_START
05EC   UEC_HI_PHY_TEST
05ED   UEC_HI_PHY_TEST_STOP
05EE   UEC_HI_UPDATE_XCVER_CNTL
05EF   UEC_UPDATE_SAS_INIT_PORT_STATE
05F0   UEC_HI_FAILED
05F1   UEC_HI_SEND_TMF_COMPLETE_STATUS
05F2   UEC_HI_LOGO_RESPONSE
05F3   UEC_HI_PRLO_RESPONSE
05F4   UEC_HI_BA_RJT_LOGICAL_RESPONSE
05F5   UEC_HI_BA_RJT_PROTOCOL_RESPONSE
05F6   UEC_HI_ABTS_ERROR
05F7   UEC_HI_UNEXPECTED_ELS_LENGTH
05F8   UEC_HI_OFB_CTL_QUEUE_FULL
05F9   UEC_HI_DISCARD_ELS_FRAME
05FA   UEC_HI_SEND_QUE_FULL_STATUS
05FB   UEC_HI_SEND_CHK_COND_STATUS
05FC   UEC_HI_SEND_BUSY_STATUS
05FD   UEC_HI_SEND_GOOD_STATUS
05FE   UEC_HI_CHECK_LIP_FLAG
05FF   UEC_HI_GET_SCSI_QUEUE_DEPTH
F601   UEC_SOUTH_BOOT_INCOMPLETE
F602   UEC_SOUTH_TRAPPED
F603   UEC_SOUTH_TIMEOUT
F604   UEC_SOUTH_CMD_DONE
F605   UEC_SOUTH_CMD_ERROR
F606   UEC_SOUTH_UNKNOWN_EVENT
F607   UEC_SOUTH_GENERIC_ASSERT
F608   UEC_SOUTH_IDENTIFY_FAILED
F609   UEC_SOUTH_ASSERT_DUMP_INVALID
F60A   UEC_SOUTH_ASSERT_COLLISION
F60B   UEC_SOUTH_NOT_READY_FOR_ASSERTS
F60C   UEC_SOUTH_DUMPERASE_BUT_NO_ASSERT_FOUND
F60D   UEC_SOUTH_DUMPREAD_BUT_NO_ASSERT_FOUND
F60E   UEC_SOUTH_FCONFIG_UPDATE_FAILURE
F60F   UEC_SOUTH_FCONFIG_TOKEN_FIND_FAILURE
F610   UEC_SOUTH_NAND_UNSUPPORTED
F611   UEC_SOUTH_NANDID_MISMATCH
F612   UEC_SOUTH_NO_FW_FOUND
F613   UEC_SOUTH_BAD_FW_CHKSUM
F614   UEC_SOUTH_NO_SLOTS_FOUND
F620   UEC_SOUTH_ENABLE_LOGICAL
F621   UEC_SOUTH_DISABLE_LOGICAL_NO_CONTEXT
F622   UEC_SOUTH_DISABLE_LOGICAL_BAD_CONTEXT
F623   UEC_SOUTH_DISABLE_LOGICAL_ASSERTED
F624   UEC_SOUTH_DISABLE_LOGICAL_NO_DEFECT_MAP
F625   UEC_SOUTH_DISABLE_LOGICAL_NO_SPACE
F626   UEC_SOUTH_DISABLE_LOGICAL_CHAN_CE_CONFLICT
F627   UEC_SOUTH_READ_ONLY
F628   UEC_SOUTH_LOG_INVALID
F701   UEC_MEDIA_FORMAT_CORRUPTED
171C   UEC_MEDIA_SOFT_DRAM_CRC
F71D   UEC_MEDIA_HARD_DRAM_CRC
172B   UEC_MEDIA_XOR_RETRY_CORRECTABLE
172C   UEC_MEDIA_SOFT_CORRECTABLE
F72D   UEC_MEDIA_HARD_UNCORRECTABLE
F741   UEC_MEDIA_OCT_TIMEOUT_NOT_DISPATCHED
F742   UEC_MEDIA_OCT_TIMEOUT_IN_RECOVERY
F743   UEC_MEDIA_OCT_TIMEOUT_EXECUTING
1749   UEC_MEDIA_PARTIAL_DEFECT_LIST_XFERRED
F75C   UEC_MEDIA_OVERALL_CMD_TIMEOUT
F75D   UEC_MEDIA_SELFTEST_FAILED
F762   UEC_MEDIA_SELFTEST_HARDCACHE_FAIL
F763   UEC_MEDIA_SELFTEST_OTFCACHE_FAIL
17B8   UEC_MEDIA_SOFT_REFTAG_ERROR
F7B9   UEC_MEDIA_HARD_REFTAG_ERROR
17BA   UEC_MEDIA_SOFT_APPTAG_ERROR
F7BB   UEC_MEDIA_HARD_APPTAG_ERROR
17BC   UEC_MEDIA_SOFT_GRDCHK_ERROR
F7BD   UEC_MEDIA_HARD_GRDCHK_ERROR
17C2   UEC_MEDIA_SOFT_RDCRC_ERROR
F7C3   UEC_MEDIA_HARD_RDCRC_ERROR
17C4   UEC_MEDIA_SOFT_DRAMECC_ERROR
F7C5   UEC_MEDIA_HARD_DRAMECC_ERROR
17C6   UEC_MEDIA_SOFT_DRAMECCLBA_ERROR
F7C7   UEC_MEDIA_HARD_DRAMECCLBA_ERROR
F7CC   UEC_MEDIA_HARD_WR_UNCOR_LBA
F910   UEC_MFG_FLASHTEST_FAILURE
1A01   UEC_SMART_POWER_ON_HOUR_WARNING_NO_SNS
2A01   UEC_SMART_POWER_ON_HOUR_WARNING_RECOVERED
3A01   UEC_SMART_POWER_ON_HOUR_WARNING_UNIT_ATN
1A02   UEC_SMART_TEMPERATURE_WARNING_NO_SNS
2A02   UEC_SMART_TEMPERATURE_WARNING_RECOVERED
3A02   UEC_SMART_TEMPERATURE_WARNING_UNIT_ATN
1A03   UEC_SMART_BGST_WARNING_NO_SNS
2A03   UEC_SMART_BGST_WARNING_RECOVERED
3A03   UEC_SMART_BGST_WARNING_UNIT_ATN
1A04   UEC_SMART_BGPS_WARNING_NO_SNS
2A04   UEC_SMART_BGPS_WARNING_RECOVERED
3A04   UEC_SMART_BGPS_WARNING_UNIT_ATN
1A05   UEC_SMART_BGMS_WARNING_NO_SNS
2A05   UEC_SMART_BGMS_WARNING_RECOVERED
3A05   UEC_SMART_BGMS_WARNING_UNIT_ATN
1A06   UEC_SMART_WEAR_WARNING_NO_SNS
2A06   UEC_SMART_WEAR_WARNING_RECOVERED
3A06   UEC_SMART_WEAR_WARNING_UNIT_ATN
1A28   UEC_SMART_CAPACITOR_FAIL_NO_SNS
2A28   UEC_SMART_CAPACITOR_FAIL_RECOVERED
3A28   UEC_SMART_CAPACITOR_FAIL_UNIT_ATN
1A53   UEC_SMART_REMAINING_RESERVE1_NO_SNS
2A53   UEC_SMART_REMAINING_RESERVE1_RECOVERED
3A53   UEC_SMART_REMAINING_RESERVE1_UNIT_ATN
1A54   UEC_SMART_REMAINING_RESERVE2_NO_SNS
2A54   UEC_SMART_REMAINING_RESERVE2_RECOVERED
3A54   UEC_SMART_REMAINING_RESERVE2_UNIT_ATN
2A80   UEC_SLFT_RECOV_ERR_COUNT_THRESHOLD
